name;manufacturer;address_manufacturer;num_order;date_resolution;organization;address_organization;type;class;manufacture_place;trial_organization;trial_address;status
Система лазерная OCTAX для вспомогательных репродуктивных технологий с принадлежностями;'Витролайф ГмбХ';, Германия, Дальнее зарубежье, Vitrolife GmbH, Dr.-Pauling-Str. 9, 84079 Bruckberg, Germany, Германия;сен.21;12.01.2021;ООО 'БМТ';117342, Россия, г. Москва, ул. Бутлерова, д. 17Б, пом. 4, эт. 5;325920;2а;Vitrolife GmbH, Dr.-Pauling-Str. 9, 84079 Bruckberg, Germany;;; 
Сканер интраоральный iTero® Element 5D, с принадлежностями;'Элайн Технолоджи Лтд.';, Израиль, Дальнее зарубежье, Align Technology Ltd., 3 Ariel Sharon Boulevard, Or-Yehuda 6037606, Israel, Израиль;авг.21;12.01.2021;ООО 'Элайн Технолоджи';117105, Россия, Москва, Варшавское ш., д. 9, стр. 1Б, пом. XI, комн., 1, 1а, 2, 3, 4, 7, 8, 9,;331040;2а;Align Technology Ltd., 3 Ariel Sharon Boulevard, Or-Yehuda 6037606, Israel;;;2021-02-12 Проводится
Система оптической когерентной томографии SOLIX (со встроенной фундус-камерой);'Оптовью, Инк.';, США, Optovue, Inc., 2800 Bayview Drive, Fremont, CA 94538, USA, США;май.21;12.01.2021;АО 'Трейдомед Инвест';109147, Россия, Москва, ул. Марксистская, д. 3, стр. 1, этаж 4, пом. 1, комн. 44-48, 52-54;227970;2а;"1. Optovue, Inc., 2800 Bayview Drive, Fremont, CA 94538, USA.
2. DELBio, Inc., 3, 7f., No. 252, Shangying Rd., Guishan Dist., Taoyuan City 333, Taiwan.";;;2021-02-04 Завершено
Стент коронарный Metaforтм с рассасывающимся лекарственным покрытием сиролимус (Sirolimus Eluting Coronary Stent System Metaforтм);'Мэрил Лайф Саенсиз Пвт., Лтд.';, Индия, Meril Life Sciences Pvt., Ltd., Bilakhia House, Survey No. 135/139, Muktanand Marg, Chala, Vapi GJ 396191, India, Индия;янв.21;12.01.2021;ООО 'Мерил Медикал';117246, Россия, г. Москва, пр-зд Научный, д. 19, эт. 7, комн. 70;155760;3;Meril Life Sciences Pvt., Ltd., Muktanand Marg, Chala, Vapi GJ 396191, India;;;2021-01-15 Проводится
Материалы стоматологические композитные пломбировочные Брайт (Bright) в индивидуальных упаковках;«ДМП Дентал Индастри С.А.»;, Греция, Дальнее зарубежье, DMP Dental Industry S.A., Kalyvion Avenue, Markopoulo Industrial Zone, Attiki 190 03, Greece, Греция;апр.20;10.01.2020;ООО 'Гарант Медикал Групп';610017, Россия, , г. Киров, ул. Горького, д. 5, офис 601;281750;2а;DMP Dental Industry S.A., Kalyvion Avenue, Markopoulo Industrial Zone, Attiki 190 03, Greece;;;2020-03-12 Завершено
Инкубатор лабораторный сухого нагрева DKT200-2A;'Ханчжоу Миу Инструментс Ко., Лтд.';, Китай, Hangzhou Miu Instruments Co., Ltd., Room 201, Building 1, No. 1418-3, Moganshan Road, Hangzhou, China, Китай;фев.21;12.01.2021;ООО 'ПлазмоВита';115280, Россия, Москва, ул. Ленинская слобода, д. 9, пом. 2, ком. 37-3, офис 2;336810;2а;Hangzhou Miu Instruments Co., Ltd., Room 21, Building 1, No. 1418-3, Moganshan Road, Hangzhou, China;;;2021-01-25 Проводится
Материал органический офтальмологический для временной замены стекловидного тела глаза 'Перфтор' ТУ 32.50.13-001-22571619-2018;ООО 'ПРОФИМЕД';121087, Россия, Москва, Багратионовский пр-д, д. 12А, этаж 1, пом. 07, Россия;май.20;10.01.2020;ООО 'ПРОФИМЕД';121087, Россия, Москва, Багратионовский пр-д, д. 12А, этаж 1, пом. 07;250870;3;ООО 'Сигма Лаб', Россия, 143026, Москва, Территория инновационного центра Сколково, Большой б-р., д. 42, стр. 1, этаж 3, пом. 785;;;2020-03-17 Завершено
Тренажер реабилитационный для восстановления двигательной активности и навыков ходьбы, варианты исполнения: DST8000 Triple Pro, DST8000 Triple;'Д.П.Е МЕДИКАЛ ЛТД.';, Израиль, Дальнее зарубежье, D.P.E MEDICAL LTD., 49, Yefe Nof St., Shoаva, Israel, Израиль;мар.20;10.01.2020;ООО 'БЕКА РУС';124489, Россия, г. Москва, г. Зеленоград, Сосновая аллея, д. 6а, стр. 1;261950;1;D.P.E MEDICAL LTD., 49, Yefe Nof St., Shoаva, Israel;;;2020-10-20 Завершено
Пластыри противомозольные;Лиепаяс специалас економискас зонас СИА 'НордеПласт';, Латвия, Liep&#257,jas speci&#257,l&#257,s ekonomisk&#257,s zonas SIA 'NordePlast', Liep&#257,ja, Zieme&#316,u iela 19, LV-3405, Latvijas Republika, Латвия;дек.20;10.01.2020;АО 'Авангард';125212, Россия, Москва, Кронштадтский б-р, д. 7А, стр. 1, этаж 5, пом. 1, ком. 1-5;273850;3;Liep&#257,jas speci&#257,l&#257,s ekonomisk&#257,s zonas SIA 'NordePlast', Liep&#257,ja, Zieme&#316,u iela 19, LV-3405, Latvijas Republika;;;2020-02-06 Завершено
Набор материалов стоматологических композитных светоотверждаемых для художественной реставрации 'Zenit Color' с принадлежностями;'Президент Дентал ГмбХ';, Германия, President Dental GmbH, Zehentstadelweg 7, 81247 M&#252,nchen, Germany, Германия;ноя.20;10.01.2020;ООО 'АРМАДА-ДЕНТАЛЬ';123592, Россия, Москва, Неманский пр-д, д. 13, корп. 2, кв. 69;281770;2а;President Dental GmbH, Zehentstadelweg 7, 81247 M&#252,nchen, Germany;;;2020-10-08 Завершено
Редуктор - ингалятор кислородный 'СПАС-ЛАЙФ' по ТУ 32.50.21-001-16973727-2017;ООО 'НТЦ МЧС';141880, Россия, Московская область, Дмитровский район, д. Микляево, д. 6, пом. 2, Россия;мар.21;12.01.2021;ООО 'НТЦ МЧС';141880, Россия, Московская область, Дмитровский район, д. Микляево, д. 6, пом. 2;216540;2а;"1. ООО 'НТЦ МЧС', Россия, 141880, Московская область, Дмитровский район, г. Дмитров, Синьковское с/п, д. Микляево, д. 6, лит. Г.
2. ООО 'НТЦ МЧС', Россия, 143300, Московская область, Наро-Фоминский район, г. Наро-Фоминск, туп. Тургеневский, № 1, этаж 3, пом. № 104, 105.";;;2021-01-28 Проводится
Презервативы из натурального латекса торговой марки 'VIZIT';'Рихтер Рабба Технолоджи Сдн. Бхд.';, Малайзия, Richter Rubber Technology Sdn. Bhd., No. 10В, Lorong 24, Taman Patani Jaya, Sungai Petani, Kedah, 08000, Malaysia, Малайзия;фев.20;10.01.2020;ООО 'БОЛЕАР';115201, Россия, Москва, Каширский пр-д, д. 13, пом. XIV;136390;2б;Richter Rubber Technology Sdn. Bhd., Plot 209 & 214, Kuala Ketil Industrial Estate, 09300 Kuala Ketil, Kedah, Malaysia;;;2020-03-12 Завершено
Среда для обработки сперматозоидов;'ГИНЕМЕД ГмбХ и Ко КГ';, Германия, Дальнее зарубежье, GYNEMED GmbH & Co. KG, Lubecker Str. 9, D-23738 Lensahn, Germany, Германия;16/2020;10.01.2020;ООО 'МЕДВАЙЗ';142717, Россия, Московская область, Ленинский район, с.п. Развилковское, пос. Развилка, тер. Квартала 1, влад. 09, офис 04;217420;3;GYNEMED GmbH & Co. KG, Lubecker Str. 9, D-23738 Lensahn, Germany;;;2020-04-29 Завершено
Картриджи одноразовые со скобами к степлерам хирургическим RLS, FLC, RLC;'Рич Сёрджикал, Инк.';, Китай, Дальнее зарубежье, Reach Surgiсal, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China, Китай;15/2020;10.01.2020;ООО 'Интербиомед';127238, Россия, Москва, Линейный пр-д, д. 8, помещ. 1, эт. 1, ком. 4;182180;2б;Reach Surgical, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China;;;2020-03-11 Завершено
Система кохлеарной имплантации ГАММА;ООО 'НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ 'МЕДИЦИНСКАЯ ТЕХНИКА';127287, Россия, г. Москва, Петровско-Разумовский пр-д, д. 29, стр. 2, эт. 1, пом. V, ком. 20, Россия;14/2020;10.01.2020;ООО 'НАУЧНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ 'МЕДИЦИНСКАЯ ТЕХНИКА';127287, Россия, г. Москва, Петровско-Разумовский пр-д, д. 29, стр. 2, эт. 1, пом. V, ком. 20;210000;3;ООО 'НПК 'МЕДИЦИНСКАЯ ТЕХНИКА', 127287, Россия, г. Москва, Петровско-Разумовский пр-д, д. 29, стр. 2, эт. 1, пом. V, ком. 20;;;2020-03-02 Завершено
Нити DG-lift (ДиДжи-лифт) из полидиоксанона и поли-L-молочной кислоты стерильные рассасывающиеся для лифтинга тканей на иглах-носителях и без игл-носителей различных размеров;'Юрим Медикал Ко., Лтд.';, Корея, Yurim Medical Co. Ltd., (303-ho, 310-ho, 312-ho), 125, Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si Chungcheongbuk-do, Korea, Корея;17/2020;10.01.2020;ООО 'ТЕХДЕРМ РАША';107370, Россия, г. Москва, Маршала Рокоссовского б-р, д. 6, корп. 1, кв. 26;108390;3;Yurim Medical Co., Ltd., 501-ho, 7, Gangni 1-gil, Ochang-eup, Cheongwon-gu, Cheongju-si, Chungcheongbuk-do, Korea;;;2020-03-27 Завершено
Материал керамический для изготовления стоматологических реставраций при помощи технологии CAD/CAM;'Ивоклар Вивадент АГ';, Лихтенштейн, Дальнее зарубежье, Ivoclar Vivadent AG, Bendererstrasse 2, 9494 Schaan, Liechtenstein, Лихтенштейн;13/2020;10.01.2020;ООО 'Ивоклар Вивадент';115432, Россия, Москва, пр-кт Андропова, д. 18, корп. 6;119480;2а;"1. Ivoclar Vivadent AG, Bendererstrasse 2, 9494 Schaan, Liechtenstein.
2. Ivoclar Vivadent GmbH, Dr. Adolf-Schneider-Strasse 2, 73479 Ellwangen, Germany.
3. Ivoclar Vivadent Manufacturing GmbH, Bremschlstrasse 16, 6706 B&#252,rs, Austria.
4. Ivoclar Vivadent Manufacturing Inc., 500 Memorial Drive, Somerset NJ 08873, USA.
5. Ivoclar Vivadent Manufacturing GmbH, Via-Gustav-Flora 32, 39025 Naturno (BZ), Italy.";;;2020-02-12 Завершено
Картриджи со скобами одноразовые к степлерам эндоскопическим режущим Endo SRC и Endo III - Handle;'Рич Сёрджикал, Инк.';, Китай, Дальнее зарубежье, Reach Surgiсal, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China, Китай;25/2020;10.01.2020;ООО 'Интербиомед';127238, Россия, Москва, Линейный пр-д, д. 8, пом. 1, эт. 1, ком. 4;182180;2б;Reach Surgical, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China;;;2020-03-12 Завершено
Аппарат одноразовый сшивающий циркулярный со скобами;'Рич Сёрджикал, Инк.';, Китай, Дальнее зарубежье, Reach Surgiсal, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China, Китай;24/2020;10.01.2020;ООО 'Интербиомед';127238, Россия, Москва, Линейный пр-д, д. 8, пом. 1, эт. 1, ком. 4;313410;2б;Reach Surgical, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China;;;2020-03-11 Завершено
Материал стоматологический для изготовления металлокерамических и безметалловых протезов зубов IPS Style Ceram в отдельных упаковках с принадлежностями;'Ивоклар Вивадент АГ';, Лихтенштейн, Ivoclar Vivadent AG, Bendererstrasse 2, 9494 Schaan, Liechtenstein, Лихтенштейн;янв.18;12.01.2018;ООО 'Ивоклар Вивадент';115432, Россия, Москва, пр-кт Андропова, д. 18, корп. 6;119480;2а;Ivoclar Vivadent AG, Bendererstrasse 2, 9494 Schaan, Liechtenstein;;;2018-03-16 Завершено
Среда для обработки фолликулов, ооцитов, эмбрионов;'ГИНЕМЕД ГмбХ и Ко КГ';, Германия, Дальнее зарубежье, GYNEMED GmbH & Co. KG, Lubecker Str. 9, D-23738 Lensahn, Germany, Германия;22/2020;10.01.2020;ООО 'МЕДВАЙЗ';142717, Россия, Московская область, Ленинский район, с.п. Развилковское, пос. Развилка, тер. Квартала 1, влад. 09, офис 04;217420;3;GYNEMED GmbH & Co. KG, Lubecker Str. 9, D-23738 Lensahn, Germany;;;2020-05-29 Завершено
Набор реагентов для количественного определения холестерина-ЛПВП методом спектрофотометрического анализа в сыворотке и плазме крови на анализаторах биохимических и платформах модульных Roche/Hitachi cobas c (Cobas c 311, cobas 6000, cobas 8000) и Cobas c 111, Cobas Integra 400 plus (HDLС4/HDL-Cholesterol Gen.4);'Рош Диагностикс ГмбХ';, Германия, Roche Diagnostics GmbH, Sandhofer Strasse 116, 68305 Mannheim, Germany, Германия;фев.18;12.01.2018;ООО 'Рош Диагностика Рус';107031, Россия, Москва, Трубная пл., д. 2;103420;2а;"1. Roche Diagnostics GmbH Centralised and Point of Care Solutions, Sandhofer Strasse 116, 68305 Mannheim, Germany.
2. Roche Diagnostics GmbH Centralised and Point of Care Solutions, Nonnenwald 2, 82377 Penzberg, Germany.";;;2018-05-21 Завершено
Фороптер RT-6100, смонтированный на функциональном столе врача-офтальмолога ST-6100;'НИДЕК КО., ЛТД.';, Япония, Дальнее зарубежье, NIDEK  CO., LTD., 34-14 Maehama, Hiroishi-cho, Gamagori, Aichi, 443-0038, Japan, Япония;23/2020;10.01.2020;ООО 'МД ВИЖН';117312, Россия, Москва, ул. Губкина, д. 14, часть цокольного этажа;341980;2а;NIDEK  CO., LTD., Hiroishi Plant, 34-14 Maehama, Hiroishi-cho, Gamagori, Aichi, 443-0038, Japan;;;2020-01-28 Завершено
Регулятор ручной одноразовый MEDRAD VFlow;'Байер Медикал Кэа Инк.';, США, Bayer Medical Care Inc., 1 Bayer Drive, Indianola, Pennsylvania 15051-0780, USA, США;мар.18;12.01.2018;АО 'БАЙЕР';107113, Россия, г. Москва, ул. 3-я Рыбинская, д. 18, стр. 2;261020;2б;Bayer Medical Care Inc., Also doing business as Medrad, Inc., 1 Bayer Drive, Indianola, Pennsylvania 15051-0780, USA;;;2018-03-20 Завершено
Набор для сепарации компонентов аутологической жировой ткани SmartX;'Донгкоо Био &  Фарма Ко., Лтд.';, Корея, Дальнее зарубежье, Dongkoo Bio & Pharma Co., Ltd., 18, Jeyakgongdan 2-gil, Hyangnam-eup, Hwaseong-si, Gyeonggi-do, Korea, Корея;21/2020;10.01.2020;ООО 'Белла-С';123557, Россия, Москва, ул. Пресненский вал, д. 14, корп. 2, этаж 1, пом. Xа, комн. 2а, р.м. З;214630;2б;Dongkoo Bio & Pharma Co., Ltd., 18, Jeyakgongdan 2-gil, Hyangnam-eup, Hwaseong-si, Gyeonggi-do, Korea;;;2020-03-31 Завершено
Установка медицинская вакуумная, варианты исполнений HOSPIVAC 2 и HOSPIVAC 3;'МИЛ'С САС';, Франция, MIL'S SAS, 15 rue de Gen&#232,ve, 69740 Genas, France, Франция;апр.18;12.01.2018;ООО 'ВестМедГрупп';141983, Россия, Московская область, г. Дубна, ул. Программистов, д. 4, стр. 4, офис 103;259670;2а;MIL'S SAS, 13-15 rue de Geneve, Genas, Cedex, FR-69746, France;;;2018-07-04 Завершено
Диссектор Sonicision беспроводной ультразвуковой с изогнутыми браншами с принадлежностями;'Ковидиен ЛЛС';, США, Дальнее зарубежье, Covidien LLC, 15 Hampshire Street, Mansfield, MA 02048, USA, США;20/2020;10.01.2020;ООО 'Медтроник';123112, Россия, Москва, Пресненская наб., д. 10, эт. 9, пом. III, ком. 41;127500;2б;"1. Covidien LLC, 5920 Longbow Drive Boulder, Colorado, 80301, USA..
2. Cadex Electronics Inc., 22000 Fraserwood Way, Richmond, British Columbia V6W 1J6, Canada.";;;2020-02-12 Завершено
Инструменты стоматологические вращающиеся боры, дискодержатели, дрили по ТУ 32.50.11.000-002-39164901-2017;ООО 'Форма';152613, Россия, Ярославская область, г. Углич, ул. Северная, д. 15, Россия;29/2020;10.01.2020;ООО 'Форма';152613, Россия, Ярославская область, г. Углич, ул. Северная, д. 15;121400;2а;ООО 'Форма', Россия, 152613, Ярославская область, г. Углич, ул. Северная, д. 15;;;2020-07-15 Завершено
Аппарат MACOGENIC G2 для экстракорпорального фотофереза;'МАКОФАРМА С.А.';, Франция, Дальнее зарубежье, MACOPHARMA S.A., Rue Lorthiois, 59420 Mouvaux, France, Франция;28/2020;10.01.2020;ЗАО 'НПО АСТА';107076, Россия, Москва, ул. Стромынка, д. 18, корп. 13, эт. 6, пом. № 1;115710;2б;MACOPHARMA S.A., Rue Lorthiois, 59420 Mouvaux, France;;;2020-04-17 Завершено
Консоль JETSTREAM PVCN100;'Бостон Сайентифик Корпорейшн';, США, Boston Scientific Corporation, 300 Boston Scientific Way, Marlborough, МА 01752, USA, США;27/2020;10.01.2020;ООО  'Синерджи Консалтинг';109548, Россия, Москва, ул. Шоссейная, д. 1, корп. 2, пом. I, этаж 4, каб. 26;130850;2б;Boston Scientific Corporation, 150 Baytech Drive, San Jose, CA 95134, USA;;;2020-03-25 Завершено
Скальпель ультразвуковой одноразовый;'Рич Сёрджикал, Инк.';, Китай, Дальнее зарубежье, Reach Surgiсal, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China, Китай;26/2020;10.01.2020;ООО 'Интербиомед';127238, Россия, Москва, Линейный пр-д, д. 8, пом. 1, эт. 1, ком. 4;334020;2б;Reach Surgical, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China;;;2020-03-14 Завершено
Степлеры эндоскопические режущие прямые и артикуляционные;'Рич Сёрджикал, Инк.';, Китай, Дальнее зарубежье, Reach Surgiсal, Inc., 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China, Китай;окт.20;10.01.2020;ООО 'Интербиомед';127238, Россия, Москва, Линейный пр-д, д. 8, пом. 1, эт. 1, ком. 4;313210;2а;Reach Surgical, Inc, 5 Fourth Street, Bldg. B, 4th Floor, TEDA, Tianjin 300457, China;;;2020-03-12 Завершено
Набор офтальмологический AquaFree Natural в вариантах исполнения;'Румекс Интернешионал Лтд';, Великобритания, Rumex International Ltd, 311 Shoreham street, Sheffield, South Yorkshire, S2 4FA, United Kingdom, Великобритания;сен.20;10.01.2020;ООО 'РУМЭКС Медикал';123592, Россия, Москва, ул. Кулакова, д. 20, стр. 1б, помещ. IV, ком. 15-17, 33;161200;2б;"1. Sotera Health LLC, 2015 Spring Road, Suite 650, Oak Brook, Illinois, 60523, USA.
2. Medicel AG, Dornierstrasse 11, 9423 Altenrhein, Switzerland.
3. Millennium Biomedical Inc., 360 E. Bonita Avenue, Pomona, CA 91767, USA.";;;2020-02-25 Завершено
Датчики для ультразвуковых диагностических систем производства SAMSUNG MEDISON;'САМСУНГ МЕДИСОН КО., ЛТД.';, Корея, Дальнее зарубежье, SAMSUNG MEDISON CO., LTD., 145, Pangyoyeok-ro, Bundang-gu, Seongnam-si, Gyeonggi-do, 13530, Republic of Korea, Корея;авг.20;10.01.2020;ЗАО  'МЕДИЭЙС';127422, Россия, Москва, ул. Тимирязевская, д. 1, стр. 3;260250;2а;SAMSUNG MEDISON CO., LTD., 3366, Hanseo-ro, Nam-myeon, Hongcheon-gun, Gangwon-do, 25108, Republic of Korea;;;2020-03-20 Завершено
Трансмиттер Guardian Connect;'Медтроник МиниМед';, США, Medtronic MiniMed, 18000 Devonshire street, Northridge, CA 91325, USA, США;июл.20;10.01.2020;ООО 'Медтроник';123317, Россия, Москва, Пресненская наб., д. 10;332910;2а;"1. Medtronic MiniMed, 18000 Devonshire Street, Northridge, CA 91325, USA.
2. IntriCon Corporation, 1260 Red Fox Road, Arden Hills, MN 55112 USA.";;;2020-02-25 Завершено
Аппарат лазерный дерматологический FINEMEC, в вариантах исполнения Aileen plus, Neosys, Noblex;'ФайнМЕК Ко., Лтд.';, Корея, Дальнее зарубежье, FineMEC Co., Ltd., #604-1, 217, Heojun-ro, Gangseo-gu, Seoul, Korea, Корея;июн.20;10.01.2020;ООО 'ИНЛЗ';194044, Россия, г. Санкт-Петербург, Пироговская наб., д. 5/2, лит. А, пом. 60-Н, Ч.П.  № 277;181940;2б;FineMEC Co., Ltd., #604-1, 217, Heojun-ro, Gangseo-gu, Seoul, Korea;;;2020-06-16 Завершено
Изделие для терапии аргоновой плазмой 'Плазма-200' по ТУ 32.50.21-101-38312819-2017;ЗАО 'Руднев-Шиляев';119034, Россия, Москва, Хилков пер., д. 3, стр. 1, Россия;май.18;15.01.2018;ЗАО 'Руднев-Шиляев';119034, Россия, Москва, Хилков пер., д. 3, стр. 1;320580;2а;ЗАО 'Руднев-Шиляев', Россия, 127055, Москва, ул. Сущёвская, д. 21;;;2018-09-21 Завершено
Синтетическая нерезорбируемая мембрана permamem;'Ботисс биоматериалс ГмбХ';, Германия, Дальнее зарубежье, botiss biomaterials GmbH, Hauptstra&#223,e 28, 15806 Zossen b. Berlin, Germany, Германия;янв.20;10.01.2020;ООО 'Ботисс плюс';194291, Россия, г. Санкт-Петербург, Луначарского пр-кт, д. 47, литер А;340360;2б;"1. botiss biomaterials GmbH, Hauptstra&#223,e 28, 15806 Zossen b. Berlin, Germany.
2. mebios GmbH, G&#252,terstrasse 2, 64807 Dieburg, Germany.";;;2020-04-15 Завершено
Аппликаторы для системы микроволновой абляции Surblate;'Висон-Чайна Медикал Дивайсез Эр энд ди Сентр';, Китай, Дальнее зарубежье, Vison-China Medical Devices R&D Center, Floor 5, Tianhe Mansion, No.216 Zhongshan North Road, Gulou District, Nanjing City, Jiangsu Province, PRC, Китай;18/2020;10.01.2020;ООО 'Медика-77';119021, Россия, Москва, пр-кт Комсомольский, д. 14/1, корп. 2, кв. 76;327010;2б;"1. Vison-China Medical Devices R&D Center, Floor 5, Tianhe Mansion, No.216 Zhongshan North Road, Gulou District, Nanjing City, Jiangsu Province, PRC.
2. Vison-China Medical Devices R&D Center, Floor 2 and Floor 4, No.198 Jinsha Town, Economic Development Zone, Zhaoxia Road, Nantong City, Jiangsu Province, PRC.";;;2020-04-24 Завершено
