"number";"type";"type_ch";"region";"fio";"order_date";"order_num";"date_to";"register_date";"date_order_stop";"num_order_stop"
"5108";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"анестезиологии и реаниматологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Республика Бурятия";"Ханхатов Евгений Робертович";"26.02.2021";"П04-34/21";"25.02.2026";"26.02.2021";"";""
"5107";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Детская хирургия";"Республика Бурятия";"Ванчиков Баир Дамбиевич";"26.02.2021";"П04-33/21";"25.02.2026";"26.02.2021";"";""
"5106";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"дерматовенерологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Организация здравоохранения и общественное здоровье";"Республика Бурятия";"Ермолаев Николай Николаевич";"26.02.2021";"П04-32/21";"25.02.2026";"26.02.2021";"";""
"5105";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"хирургии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Организация здравоохранения и общественное здоровье";"Республика Бурятия";"Плеханов Александр Николаевич";"26.02.2021";"П04-31/21";"25.02.2026";"26.02.2021";"";""
"5104";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"терапии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Шашкова Лилия Геннадьевна";"24.02.2021";"П46-20/2021";"23.02.2026";"25.02.2021";"";""
"5103";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"травматологии и ортопедии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Масленников Сергей Олегович";"24.02.2021";"П46-20/2021";"23.02.2026";"25.02.2021";"";""
"5102";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Задохина Вера Борисовна";"24.02.2021";"П46-20/2021";"23.02.2026";"25.02.2021";"";""
"5101";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"инфекционным болезням,педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Дыкина Ирина Николаевна";"24.02.2021";"П46-20/2021";"23.02.2026";"25.02.2021";"";""
"5100";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Стоматология ортопедическая";"Амурская область";"Шевченко Андрей Николаевич";"25.02.2021";"50";"24.02.2026";"25.02.2021";"";""
"5099";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"хирургии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Амурская область";"Брегадзе Евгений Юрьевич";"25.02.2021";"51";"24.02.2026";"25.02.2021";"";""
"5098";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"анестезиологии и реаниматологии";"Орловская область";"Кирсанов Александр Сергеевич";"12.02.2021";"135-АЭ/21";"11.02.2026";"15.02.2021";"";""
"5097";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"пульмонологии";"Орловская область";"Амелютин Сергей Михайлович";"12.02.2021";"134-ЭА/21";"11.02.2026";"15.02.2021";"";""
"5096";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Стоматология терапевтическая";"Амурская область";"Упитис Наталья Валерьевна";"09.02.2021";"40";"08.02.2026";"09.02.2021";"";""
"5095";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"скорой медицинской помощи,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Амурская область";"Никишов Игорь Викторович";"09.02.2021";"39";"08.02.2026";"09.02.2021";"";""
"5094";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Рентгенология,Радиология";"Санкт-Петербург";"Гаврилов Павел Владимирович";"04.09.2020";"П78-1064/20";"03.09.2025";"02.02.2021";"";""
"5093";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"офтальмологии";"Санкт-Петербург";"Гацу Марина Васильевна";"24.09.2020";"П78-1135/20";"23.09.2025";"02.02.2021";"";""
"5092";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"хирургии";"Ленинградская область";"Османов Зейнур Худдусович";"24.09.2020";"П78-1136/20";"23.09.2025";"02.02.2021";"";""
"5091";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"травматологии и ортопедии";"Санкт-Петербург";"Беленький Игорь Григорьевич";"06.11.2020";"П78-1324/20";"05.11.2025";"01.02.2021";"";""
"5090";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"инфекционным болезням,неврологии";"Санкт-Петербург";"Вильниц Алла Ароновна";"06.11.2020";"П78-1325/20";"05.11.2025";"01.02.2021";"";""
"5089";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"нейрохирургии,Рентгенэндоваскулярные диагностика и лечение";"Санкт-Петербург";"Савелло Александр Викторович";"06.11.2020";"П78-1326/20";"05.11.2025";"01.02.2021";"";""
"5088";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"сердечно-сосудистой хирургии";"Санкт-Петербург";"Винокуров Алексей Юрьевич";"28.10.2020";"П78-1300/20";"27.10.2025";"01.02.2021";"";""
"5087";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"урологии";"Санкт-Петербург";"Гаджиев Нариман Казиханович";"12.11.2020";"П78-1335/20";"11.11.2025";"01.02.2021";"";""
"5086";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Санкт-Петербург";"Болотских Вячеслав Михайлович";"07.10.2020";"П78-1191/20";"06.10.2025";"01.02.2021";"";""
"5085";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"офтальмологии";"Санкт-Петербург";"Николаенко Вадим Петрович";"07.10.2020";"П78-1194/20";"06.10.2025";"01.02.2021";"";""
"5084";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Детская урология-андрология,Детская хирургия";"Ленинградская область";"Лебедев Дмитрий Анатольевич";"07.10.2020";"П78-1193/20";"06.10.2025";"01.02.2021";"";""
"5083";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Ультразвуковая диагностика";"Санкт-Петербург";"Евтушенко Елена Владимировна";"19.10.2020";"П78-1253/20";"18.10.2025";"29.01.2021";"";""
"5082";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Рентгенэндоваскулярные диагностика и лечение";"Санкт-Петербург";"Шлойдо Евгений Анатольевич";"19.10.2020";"П78-1254/20";"18.10.2025";"29.01.2021";"";""
"5081";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"клинической лабораторной диагностике";"Санкт-Петербург";"Иванов Андрей Михайлович";"15.10.2020";"П78-1246/20";"14.10.2025";"29.01.2021";"";""
"5080";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"клинической лабораторной диагностике";"Санкт-Петербург";"Криворучко Александр Борисович";"15.10.2020";"П78-1245/20";"14.10.2025";"29.01.2021";"";""
"5079";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"клинической лабораторной диагностике";"Санкт-Петербург";"Иванов Георгий Алексеевич";"26.10.2020";"П78-1279/20";"25.10.2025";"29.01.2021";"";""
"5078";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Рентгенэндоваскулярные диагностика и лечение";"Санкт-Петербург";"Кочанов Игорь Николаевич";"26.10.2020";"П78-1278/20";"25.10.2025";"29.01.2021";"";""
"5077";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Санкт-Петербург";"Иванова Лада Анатольевна";"15.10.2020";"П78-1244/20";"14.10.2025";"29.01.2021";"";""
"5076";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Стоматология ортопедическая";"Санкт-Петербург";"Приходько Владимир Иванович";"26.10.2020";"П78-1281/20";"25.10.2025";"29.01.2021";"";""
"5075";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Патологическая анатомия";"Санкт-Петербург";"Карев Вадим Евгеньевич";"28.10.2020";"П78-1302/20";"27.10.2025";"29.01.2021";"";""
"5074";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Санкт-Петербург";"Резник Виталий Анатольевич";"28.10.2020";"П78-1301/20";"27.10.2025";"29.01.2021";"";""
"5073";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"сердечно-сосудистой хирургии";"Санкт-Петербург";"Шломин Владимир Владимирович";"28.10.2020";"28-1/20";"27.10.2025";"29.01.2021";"";""
"5072";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"онкологии";"Санкт-Петербург";"Кулева Светлана Александровна";"31.12.2020";"П78-1503/20";"30.12.2025";"27.01.2021";"";""
"5071";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"гематологии,онкологии,педиатрии";"Санкт-Петербург";"Семенова Елена Владимировна";"31.12.2020";"П78-1502/20";"30.12.2025";"27.01.2021";"";""
"5070";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"оториноларингологии";"Республика Башкортостан";"Щербаков Дмитрий Александрович";"22.01.2021";"П03-12/21";"21.01.2026";"27.01.2021";"";""
"5069";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"психиатрии";"Тверская область";"Лугинина Ольга Викторовна";"30.12.2020";"П69-188/20";"29.12.2025";"18.01.2021";"";""
"5068";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"психиатрии";"Тверская область";"Родионова Ольга Михайловна";"30.12.2020";"П69-186/20";"29.12.2025";"18.01.2021";"";""
"5067";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"психиатрии";"Тверская область";"Максимова Наталья Евгеньевна";"30.12.2020";"П69-185/20";"29.12.2025";"18.01.2021";"";""
"5066";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"психиатрии";"Тверская область";"Комар Марина Витольдовна";"30.12.2020";"П69-187/20";"29.12.2025";"18.01.2021";"";""
"5065";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"онкологии";"Тверская область";"Комарова Оксана Андреевна";"30.12.2020";"П69-184/20";"29.12.2025";"12.01.2021";"";""
"5064";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"нейрохирургии";"Москва";"Дуров Алексей Николаевич";"24.12.2020";"1652/20";"23.12.2025";"30.12.2020";"";""
"5063";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"судебно-медицинской экспертизе";"Московская область";"Момот Дмитрий Владимирович";"24.12.2020";"1651";"23.12.2025";"30.12.2020";"";""
"5062";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"судебно-медицинской экспертизе";"Московская область";"Мошенская Светлана Петровна";"24.12.2020";"1650/20";"23.12.2025";"30.12.2020";"";""
"5061";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"травматологии и ортопедии";"Москва";"Савельев Филипп Александрович";"24.12.2020";"1653/20";"23.12.2025";"30.12.2020";"";""
"5060";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"Эндоскопия";"Москва";"Бурдюков Михаил Сергеевич";"24.12.2020";"1649/20";"23.12.2025";"30.12.2020";"";""
"5059";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"дерматовенерологии";"Москва";"Баграмова Гаянэ Эрнстовна";"24.12.2020";"1656/20";"23.12.2025";"30.12.2020";"";""
"5058";"Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Харланов Олег Дмитриевич";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5057";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"пульмонологии,фтизиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Черников Александр Юрьевич";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5056";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Старкова Светлана Александровна";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5055";"Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Ляликов Алексей Викторович";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5054";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"педиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Кулезнева Ольга Ивановна";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5053";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"эндокринологии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Итинсон Елена Михайловна";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5052";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"травматологии и ортопедии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Курская область";"Булаев Александр Михайлович";"28.12.2020";"П46-221/20";"27.12.2025";"29.12.2020";"";""
"5051";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"офтальмологии";"Москва";"Пожарицкий Дмитрий Михайлович";"24.12.2020";"1655/20";"23.12.2025";"25.12.2020";"";""
"5050";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:";"акушерству и гинекологии";"Москва";"Федченко Наталья Сергеевна";"24.12.2020";"1654/20";"23.12.2025";"25.12.2020";"";""
"5049";"Экспертиза при осуществлении лицензионного контроля:,Экспертиза при осуществлении федерального государственного надзора в сфере обращения лекарственных средств (в отношении лекарственных средств для медицинского применения)";"Соблюдение лицензионных требований при осуществлении фармацевтической деятельности,Соблюдение лицензионных требований при осуществлении деятельности по обороту наркотических средств, психотропных веществ и их прекурсоров, культивированию наркосодержащих растений,Контроль за проведением клинических исследований лекарственных препаратов для медицинского применения,Фармаконадзор,Оценка соответствия осуществляемой деятельности субъектами обращения лекарственных средств требованиям, установленным к оптовой торговле, розничной торговле, хранению, реализации, перевозке, отпуску, применению лекарственных средств,Проверки по вопросам соответствия лекарственных средств, находящихся в гражданском обороте, установленным требованиям к их качеству";"Астраханская область";"Хаметова Светлана Александровна";"18.12.2020";"П30-227/20";"17.12.2025";"24.12.2020";"";""
"5048";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»),Функциональная диагностика";"Астраханская область";"Сальникова Ольга Александровна";"18.12.2020";"П30-222/20";"17.12.2025";"24.12.2020";"";""
"5047";"Экспертиза при осуществлении государственного контроля качества и безопасности медицинской деятельности по:,Экспертиза при осуществлении лицензионного контроля:";"фтизиатрии,Соблюдение лицензионных требований при осуществлении медицинской деятельности (за исключением указанной деятельности, осуществляемой медицинскими организациями и другими организациями, входящими в частную систему здравоохранения, на территории инновационного центра «Сколково»)";"Астраханская область";"Попова Наталья Алексеевна";"18.12.2020";"П30-225/20";"17.12.2025";"24.12.2020";"";""
