"date";"name";"inn";"address";"phone";"email"
"22.06.2020";"Государственное бюджетное учреждение здравоохранения Республиканский клинический противотуберкулезный диспансер";"0274036104";"450080, Россия, Республика Башкортостан, г. Уфа, ул. Сагита Агиша, д. 4";"(347) 2284514, 2283811, 89170457439";"UFA.RKPTD@doctorrb.ru"
"02.06.2020";"Государственное бюджетное учреждение здравоохранения города Москвы 'Городская клиническая больница №40 Департамента здравоохранения города Москвы'";"7716099554";"129301, Россия, г. Москва, Касаткина ул, д. 7";"(495) 686-80-50, факс (495) 686-31-28";"gkb40@zdrav.mos.ru"
"30.04.2020";"Государственное бюджетное учреждение здравоохранения города Москвы 'Городская клиническая больница № 52 Департамента здравоохранения города Москвы'";"7734115329";"123182, Россия, г. Москва, Пехотная ул, д. 3";"8 (499) 196-39-36, 8 (499) 196-21-14";"gkb52@zdrav.mos.ru"
"26.03.2020";"Федеральное государственное бюджетное учреждение 'Национальный исследовательский центр эпидемиологии и микробиологии имени почетного академика Н.Ф. Гамалеи' Министерства Здравоохранения Российской Федерации";"7734013214";"123098, Россия, Москва, ул. Гамалеи, д. 18";"(499)193-30-01";"info@gamaleya.org"
"18.03.2020";"Общество с ограниченной ответственностью 'Клиника новых медицинских технологий архимед'";"5003055720";"119261, г. Москва, ул. Вавилова, д.68, корп.2";"(499)288-07-26";"n.molodykh@arhimedlab.com"
"17.02.2020";"Общество с ограниченной ответственностью «Тентанда Виа»";"7805729279";"198035, Россия, г. Санкт-Петербург, улица Межевой канал, дом 4, литера А, помещение 12";"+7(981)1600171";"info@tentandavia.com"
"31.12.2019";"Федеральное государственное бюджетное научное учреждение 'Федеральный научно-клинический центр реаниматологии и реабилитологии'";"7709938054";"107031, Россия, г. Москва, ул. Петровка, дом 25, строение 2";"+79036753798";"ishchelkunova@fnkcrr.ru"
"25.11.2019";"Общество с ограниченной ответственностью 'Реабилитационный центр 'Лесной'";"5445265628";"630123, Россия, Новосибирская область, г. Новосибирск, Лесное шоссе, дом 1, кабинет 56";"8(383) 240-98-68, 8913-065-07-60";"Zhdanes@mail.ru"
"07.10.2019";"государственное автономное учреждение Ростовской области 'Областной консультативно-диагностический центр'";"6163024930";"344010, Россия, Ростовская область, г. Ростов-на-Дону, Пушкинская ул, д. 127";"(863)255-79-20, (928)908-01-03";"omoldc@omldc-rnd.ru"
"23.08.2019";"Общество с ограниченной ответственностью 'ЯСНЫЙ ВЗОР'";"5013042889";"107031, Россия, г. Москва, улица Неглинная, дом 18/1, строение 1А, эт. 4 пом. 1 ком. 1";"8-915-182-87-04";"gorelysheva@prozrenie.ru"
"08.08.2019";"Федеральное бюджетное учреждение здравоохранения 'приволжский окружной медицинский центр Федерального медико-биологического агентства России";"5260101352";"603001, Россия, Нижегородская область, Н. Новгород, Нижневолжская набережная, д.2";"(831)4218282, (831)4218282";"pomc@bk.ru"
"06.08.2019";"государственное бюджетное учреждение здравоохранения Московской области 'Красногорская городская больница № 1'";"5024059531";"143408, Московская область, Красногорский район, Красногорск, ул. Карбышева, д. 4";"(926)457 78 78, (495)563 82 00";"vvroyuk@mail.ru"
"31.07.2019";"Федеральное государственное автономное учреждение 'Национальный медицинский исследовательский центр 'Межотраслевой научно-технический комплекс 'Микрохирургия глаза' имени академика С. Н. Федорова' Министерства здравоохранения Российской Федерации";"7713059497";"127486, Россия, Москва, Бескудниковский б-р, д. 59А";"(812)771 3420";"office@mntk.spb.ru"
"21.06.2019";"Акционерное общество 'Центр эндохирургии и литотрипсии'";"7720025548";"111123, Россия, г. Москва, ул. Шоссе Энтузиастов, д. 62, стр. 1";"(495)305 12 12";"secretary@celt.ru"
"22.04.2019";"Общество с ограниченной ответственностью 'Центр Генетики и Репродуктивной Медицины 'ГЕНЕТИКО'";"7736650850";"143026, Россия, г. Москва, территория Сколково инновационного центра, Бульвар Большой, дом 42, строение 1, этаж 1, пом. 334 раб. мес. 52";"(495) 646-80-76";"info@genetico.ru"
"11.03.2019";"Общество с ограниченной ответственностью 'Электронтест'";"7734557944";"127572, Россия, г. Москва, ул. Абрамцевская, д. 14А";"(495) 455-11-16, 457-63-59, 955-90-56";"electron-test@yandex.ru"
"11.03.2019";"Государственное бюджетное учреждение здравоохранения 'Самарский областной медицинский центр Династия'";"6311083770";"443095, Россия, Самарская область, г. Самара, Ташкентская ул, д. 159";"+7(846)956-44-55";"info@cordbank.ru"
"12.02.2019";"Федеральное бюджетное учреждение науки 'Центральный научно-исследовательский институт эпидемиологии' Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека";"7720024671";"111123, Россия, г. Москва, ул. Новогиреевская, д. 3А";"+7(495)974-96-46, +7(495)672-10-69";"crie@pcr.ru"
"04.02.2019";"Областное государственное автономное учреждение здравоохранения 'МЕДСАНЧАСТЬ ИАПО'";"3810020427";"664002, Россия, Иркутская область, г. Иркутск, ул. Жукова, д. 9";"+7(3952)329707,  +7(3952)328395";"msh@msh38.ru"
"18.01.2019";"Федеральное бюджетное учреждение здравоохранения 'Лечебно-реабилитационный центр Министерства экономического развития Российской Федерации'";"7751524258";"142160, Россия, г. Москва, поселение Вороновское, село Вороново";"(495) 996-24-20";"fguvoronovo@mail.ru"
"29.12.2018";"Государственное бюджетное учреждение здравоохранения Республики Мордовия 'Мордовская республиканская центральная клиническая больница'";"1327033084";"430013, Россия, Республика Мордовия, г. Саранск, улица Победы, д.14/5, корпус 1";"(8342)76-01-33";"mrckb@moris.ru"
"16.11.2018";"Общество с ограниченной ответственностью 'Институт генной и тканевой инженерии'";"0275080530";"450076, Россия, Республика Башкортостан, г. Уфа, улица Гоголя, дом 56, квартира 26";"(903)310-30-70";"ruslanzubairoff@gmail.com"
"19.10.2018";"федеральное государственное бюджетное учреждение 'Национальный медицинский исследовательский центр фтизиопульмонологии и инфекционных заболеваний' Министерства здравоохранения Российской Федерации";"6663025890";"127473, Россия, г.Москва, ул. Достоевского, д. 4, корп. 2";"(495)681-84-22";"tbcripp@mail.ru"
"11.10.2018";"Государственное бюджетное учреждение здравоохранения города  Москвы 'Городская клиническая больница имени И.В. Давыдовского Департамента здравоохранения города Москвы'";"7709129423";"109240, Россия, г. Москва, улица Яузская, дом 11";"915-36-48, 916-657-90-58, факс 915-30-42";"gkb23@zdrav.mos.ru"
"08.08.2018";"Общество с ограниченной ответственностью 'Научно-исследовательский центр Эко-безопасность'";"7810470906";"196143, г. Санкт-Петербург, ";"(812)500-52-03";"nic@ecosafety.ru"
"08.08.2018";"Федеральное государственное бюджетное учреждение 'Всероссийский научно-исследовательский и испытательный институт медицинской техники' Федеральной службы по надзору в сфере здравоохранения";"7716182210";"115478, Россия, г. Москва, Каширское ш, д. 24, Стр.16";"(495)645-38-32";"info@vniiimt.org"
"08.08.2018";"федеральное государственное бюджетное учреждение 'Национальный медицинский исследовательский центр психиатрии и неврологии имени В.М. Бехтерева' Министерства здравоохранения Российской Федерации";"7811017424";"192019, Россия, г. Санкт-Петербург, ул. Бехтерева, д. 3";"(812)670 02 20, (812)412 71 27";"spbinstb@bekhterev.ru"
"09.07.2018";"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Приволжский исследовательский медицинский университет' министерства здравоохранения российской федерации";"5260037940";"603005, Россия, Нижегородская область, г. Нижний Новгород, пл. Минина, д.10/1";"(831)439 09 43";"rector@pimunn.ru"
"09.07.2018";"Федеральное государственное автономное образовательное учреждение высшего образования 'Дальневосточный федеральный университет'";"2536014538";"690950, Приморский край, г. Владивосток, ул. Суханова д. 8";"(914)792 20 39";"degtyareva.og@dvfu.ru"
"09.07.2018";"Государственное бюджетное учреждение здравоохранения московской области 'Московский областной научно-исследовательский институт акушерства и гинекологии'";"7709041289";"101000, г. Москва, ул. Покровка, д. 22а";"(495) 623-37-37";"guzmoniiag@gmail.com"
"05.07.2018";"федеральное государственное бюджетное образовательное учреждение высшего образования 'Санкт-Петербургский государственный университет'";"7801002274";"199034, Россия, г. Санкт-Петербург, Университетская наб, д. 7/9";"(812) 676 25 07";"info@gosmed.ru"
"14.06.2018";"Общество с ограниченной ответственностью 'Центр персонализированной медицины'";"5408308707";"630090, Россия, Новосибирская область, г. Новосибирск, улица Пирогова, дом 25/4";"(383) 363 01 89 доп. 162";"info@cnmt.ru"
"23.05.2018";"Государственное бюджетное учреждение здравоохранения Республиканский медико-генетический центр";"0275913012";"450076, Россия, Республика Башкортостан, г. Уфа, ул. Гафури, д. 74";"+7(347) 250 91 36";"ufa.rmgc@doctorrb.ru"
"03.05.2018";"Государственное бюджетное учреждение здравоохранения города Москвы 'Научно-практический клинический центр диагностики и телемедицинских технологий Департамента здравоохранения города Москвы'";"7709064286";"125124, Россия, г. Москва, ул. Расковой, д. 16/26, стр. 1";"(495) 678-54-95, 671-56-54, 8 (985) 435-70-76";"npcmr@zdrav.mos.ru"
"03.05.2018";"Общество с ограниченной ответственностью Клиника 'Наука'";"6316167230";"443068, Россия, Самарская область, Октябрьский район, Самара, ул. Ново-Садовая, д. 106, помещение 57";"8 846 277-77-03";"info@naykalab.ru"
"18.04.2018";"Общество с ограниченной ответственностью 'Вералаб'";"7710491170";"123056, г. Москва, пер. Электрический, д. 12, пом. II, комн. 6";"(495)6080753";"info@vera-lab.ru"
"07.02.2018";"Федеральное государственное бюджетное образовательное учреждение высшего образования «Тюменский государственный медицинский университет» Министерства здравоохранения Российской Федерации";"7203001010";"625023, Россия, Тюменская область, г. Тюмень, Одесская ул, д. 54";"(3452) 20-62-00, 20-21-97";"sverdlenkoaa@tyumsmu.ru"
"22.01.2018";"Общество с ограниченной ответственностью 'Национальное агентство клинической фармакологии и фармации'";"7723628921";"115088, г. Москва, ул. Угрешская, д. 2, стр. 8";"8-495-933-9595, 8-905-537-7036";"inform@nacph.ru"
"22.01.2018";"Федеральное бюджетное учреждение науки 'Научно-исследовательский институт дезинфектологии' Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека";"7728021048";"117246, Россия, г. Москва, Научный проезд, д. 18 18А";"(495)332 01 01";"info@niid.ru"
"22.01.2018";"Федеральное государственное автономное учреждение 'Лечебно-реабилитационный центр' Министерства здравоохранения Российской Федерации";"7733574898";"125367, г. Москва, Иваньковское шоссе, д. 3";"(499) 193-40-80, факс (495) 490-15-21";"GBarmotin@med-rf.ru"
"28.11.2017";"Государственное бюджетное учреждение здравоохранения города Москвы 'Городская клиническая больница № 17 Департамента здравоохранения города Москвы'";"7732044545";"119620, Россия, г. Москва, ул. Волынская, д.7";"(495, 499) 439-25-77, 727-70-45, факс (495) 439-14-88";"gkb17@zdrav.mos.ru"
"23.11.2017";"Общество с ограниченной ответственностью 'Научно-методический центр клинической лабораторной диагностики Ситилаб'";"7714822471";"123308, г. Москва, Хорошевское ш.,  д. 43 Г, стр. 1, комн. 1";"8(495)788 95 95";"georgiy.tomaev@citilab.ru"
"19.10.2017";"Государственное бюджетное учреждение здравоохранения города Москвы 'Диагностический центр (Центр лабораторных исследований) Департамента здравоохранения города Москвы'";"7724015205";"115580, Россия, г. Москва, Ореховый б-р, д. 49, корп. 1";"(495) 396-7370";"dcli@zdrav.mos.ru"
"19.10.2017";"Государственное бюджетное учреждение здравоохранения города Москвы 'Инфекционная клиническая больница № 2 Департамента здравоохранения города Москвы'";"7719138723";"105275, Россия, г. Москва, ул. 8-я Соколиной горы, д. 15";"(495)3651411";"aids.lab@mail.ru"
"19.10.2017";"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Ивановская государственная медицинская академия' Министерства здравоохранения Российской Федерации";"3728012776";"153012, Россия, Ивановская область, г. Иваново, проспект Шереметевский, д. 8";"(4932)553500, ф. (4932)327742";"klinikaivgma@mail.ru"
"03.10.2017";"Федеральное государственное бюджетное учреждение 'Федеральный центр сердечно-сосудистой хирургии' Министерства здравоохранения  Российской Федерации (г. Астрахань)";"3015081689";"414011, Россия, Астраханская область, г. Астрахань, ул. Покровская роща, д. 4";"(8512) 31 11 70, факс 47-85-18";"fcssh@astra-cardio.ru"
"19.09.2017";"Негосударственное учреждение здравоохранения 'Центральная клиническая больница № 2 имени Н.А. Семашко' открытого акционерного общества 'Российские железные дороги'";"7716511464";"129128, Россия, г. Москва, ул. Будайская, д. 2";"(8-499) 181-24-52";"ckb2semashko@mail.ru"
"22.08.2017";"Федеральное государственное бюджетное учреждение 'Научно-практический центр интервенционной кардиоангиологии' Министерства здравоохранения Российской Федерации";"7701136860";"101000, Россия, г. Москва, Сверчков переулок, д. 5";"(495) 624-96-36";"npcik@zdrav.mos.ru"
"04.08.2017";"Общество с ограниченной ответственностью 'Научно-производственная Фирма 'ХЕЛИКС'";"7802122535";"194044, Россия, г. Санкт-Петербург, Б. Сампсониевский пр., д.20, литер А";"(812)6076607";"guseva@spb.helix.ru"
"06.07.2017";"Автономная некоммерческая медицинская организация ' Ставропольский краевой клинический консультативно-диагностический центр'";"2634049360";"355017, Россия, Ставропольский край, г. Ставрополь, ул. Ленина, д. 304";"(8-865-2) 35-84-79,  факс (8-865-2) 25-61-49";"skkdc@skkdc.ru"
"06.07.2017";"Федеральное государственное бюджетное учреждение 'Федеральный Сибирский научно-клинический центр Федерального медико-биологического агентства'";"2462003962";"660037, Россия, Красноярский край, г. Красноярск, ул. Коломенская, д. 26";"(3912) 62-40-28";"skc@fmbamail.ru"
"27.06.2017";"Автономная некоммерческая организация 'Научно-исследовательский институт микрохирургии'";"7017046623";"634041, Россия, Томская область, г. Томск, Белинского ул, д. 31/2, кв. 5";"(83822) 645-753";"niimicro@yandex.ru"
"29.05.2017";"государственное бюджетное учреждение здравоохранения 'Клинический кожно-венерологический диспансер' министерства здравоохранения Краснодарского края";"2308071696";"350020, Россия, Краснодарский край, г. Краснодар, ул. Рашпилевская, д. 179";"(861)255-59-48";"kkvd@miackuban.ru"
"04.05.2017";"Государственное бюджетное учреждение здравоохранения Калужской области 'Калужская областная клиническая больница'";"4027022873";"248007, Россия, Калужская область, г. Калуга, ул.Вишневского, д.1";"(4842) 72-58-98, факс (4842) 72-59-15";"office@kokb40.ru"
"27.04.2017";"Общество с ограниченной ответственностью 'Канон'";"7447158103";"454021, Россия, Челябинская область, г. Челябинск, ул. Игнатия Вандышева, д. 6-а, нежилое помещение № 4 (Медицинский центр)";"(351)2175262";"Kanonddr@gmail.com"
"09.03.2017";"Государственное бюджетное учреждение здравоохранения Свердловской области «Научно-практический центр специализированных видов медицинской помощи «Уральский институт кардиологии»";"6661008786";"620144, Россия, Свердловская область, Екатеринбург, ул. 8 Марта, 78а";"(343)257 52 16, (343)257 52 09, (343)257 70 79";"Freidlin@cardio-burg.ru"
"01.03.2017";"бюджетное учреждение здравоохранения Омской области 'Клиническая офтальмологическая больница имени В.П. Выходцева'";"5504005261";"644024, Россия, Омская область, г. Омск, ул. Лермонтова, д. 60";"((3812)) 30-23-80";"okob_mail@minzdrav.omskportal.ru"
"13.02.2017";"Федеральное государственное бюджетное учреждение 'Санкт-Петербургский научно-практический центр медико-социальной экспертизы, протезирования и реабилитации инвалидов им. Г.А. Альбрехта' Министерства труда и социальной  защиты Российской Федерации";"7806104840";"195067, Россия, г. Санкт-Петербург, ул. Бестужевская, дом 50";"(812) 5432411";"reabin@center-albreht.ru"
"12.01.2017";"Федеральное государственное бюджетное научное учреждение 'Научный центр неврологии'";"7733012151";"125367, Россия, г. Москва, Волоколамское шоссе, д. 80";"(495)490-20-39, факс 490-22-10";"lia.neurology@mail.ru"
"21.12.2016";"Акционерное общество 'Группа компаний 'Медси'";"7710641442";"123056, Россия, г. Москва, Грузинский переулок, д.3 А";"(495)7370793, (495)7376182";"neverov.nig@medsigroup.ru"
"21.11.2016";"федеральное государственное бюджетное учреждение 'Клиническая больница № 1' Управления делами Президента Российской Федерации";"7729122063";"121352, Россия, г. Москва, ул. Староволынская, д. 10";"8(499)4411092";"urist@volynka.ru"
"21.11.2016";"Федеральное государственное бюджетное научное учреждение 'Научно-исследовательский институт экспериментальной и клинической  медицины'";"5408157430";"630117, Россия, Новосибирская область, г. Новосибирск, г.Новосибирск, ул.Тимакова,2";"(383)3359933";"clinic@centercem.ru"
"09.11.2016";"Акционерное общество 'Медсервис\Диагностика+'";"7727153267";"111024, Россия, г. Москва, ул. Душинская, д. 7, стр. 1";"(495)9783000";"medd@mail.ru"
"14.10.2016";"Общество с ограниченной ответственностью 'Первый клинический медицинский центр'";"3305719564";"601900, Россия, Владимирская область, г. Ковров, ул. Ватутина, д. 90";"(49232) 9-50-07";"info@clinicaleenter.ru"
"05.10.2016";"Федеральное государственное бюджетное учреждение здравоохранения 'Центральная клиническая больница восстановительного лечения Федерального медико-биологического агентства'";"5044013246";"141551, Россия, Московская область, Солнечногорский район, деревня Голубое";"(495) 536-22-88, факс 536-08-53";"INFO@ckbvl.net"
"09.09.2016";"Государственное автономное учреждение здравоохранения  'Республиканская клиническая больница Министерства здравоохранения Республики Татарстан'";"1659013660";"420064, Россия, Республика Татарстан, г. Казань, Оренбургский тракт, д. 138";"8 (843) 231-21-10, факс 8 (843) 231-21-52";"mz.rkb@tatar.ru"
"09.09.2016";"Государственное автономное учреждение здравоохранения Тюменской области 'Многопрофильный клинический медицинский центр 'Медицинский город'";"7204006910";"625041, Россия, Тюменская область, г. Тюмень, ул. Барнаульская,  д. 32";"(3452) 27-05-22";"medgorod@med-to.ru"
"06.09.2016";"государственное бюджетное учреждение здравоохранения Свердловской области «Областная детская клиническая больница № 1»";"6661002199";"620149, Россия, Свердловская область, г. Екатеринбург, ул. Серафимы Дерябиной, 32";"240-57-90, факс 240-58-01";"mail@odkb.ru"
"06.09.2016";"Государственное бюджетное учреждение Республики Марий Эл «Волжская центральная городская больница»";"1216029597";"425000, Россия, Республика Марий Эл, Волжск, ул. Советская, д.52";"(83631) 6-32-69, факс (83631) 6-32-69";"volcrb@mari-el.ru"
"06.09.2016";"Акционерное общество 'Поликлинический комплекс'";"7830002889";"190013, Россия, г. Санкт-Петербург, Московский пр.,д.22";"(812) 717-14-04, факс (812) 316-59-39";"info@cmtmed.com"
"02.08.2016";"Государственное бюджетное учреждение здравоохранения города Москвы 'Московский научно-практический центр наркологии Департамента здравоохранения города Москвы'";"7723356386";"109390, Россия, г. Москва, ул. Люблинская, д. 37/1";"8-499-179-45-28, 8 926 099 18 69";"mnpcn@bk.ru"
"02.08.2016";"Федеральное государственное автономное учреждение 'Национальный медицинский исследовательский центр нейрохирургии имени академика Н.Н. Бурденко' Министерства здравоохранения Российской Федерации";"7710103758";"125047, Россия, г. Москва, ул. 4-я Тверская-Ямская, д. 16";"(499) 251-24-05, факс (499) 972-85-03";"info@nsi.ru"
"02.08.2016";"Государственное бюджетное учреждение здравоохранения Московской области 'Люберецкий кожно-венерологический диспансер'";"5027070237";"140013, Россия, Московская область, г. Люберцы, ул. Коммунистическая, д. 15";"(495) 551-16-09";"guz_lkvd@mail.ru"
"25.07.2016";"Государственное бюджетное учреждение здравоохранения города Москвы 'Московский городской научно-практический центр борьбы с туберкулезом Департамента здравоохранения города Москвы'";"7718115064";"107014, Россия, г. Москва, ул. Стромынка, д. 10";"(499) 268-00-05";"doc@mnpcbt.ru"
"22.07.2016";"Федеральное государственное бюджетное учреждение 'Российский научно-исследовательский институт гематологии и трансфузиологии Федерального медико-биологического агентства'";"7815025433";"193024, Россия, г. Санкт-Петербург, 2-я Советская ул., дом 16";"274-56-50, факс 274-92-27";"RNIIHT@mail.ru"
"22.07.2016";"Федеральное государственное автономное учреждение здравоохранения Больница Пущинского научного центра Российской академии наук";"5039002859";"142290, Россия, Московская область, г. Пущино, ул. Институтская, д. 1";"(4967) 73-24-06, факс 33-13-06";"glavvracbpnc@mail.ru"
"03.06.2016";"Государственное бюджетное учреждение здравоохранения Тверской области  'Областной клинический лечебно-реабилитационный центр'";"6902016095";"170026, Россия, Тверская область, г. Тверь, ул.Горького, д.50";"(84822) 52-10-74";"reab-tver@bail.ru"
"13.05.2016";"федеральное государственное бюджетное учреждение 'Федеральный центр нейрохирургии' Министерства здравоохранения Российской Федерации (г. Тюмень)";"7204152364";"625000, Россия, Тюменская область, г. Тюмень, 4 км. Червишевского тракта,  д. 5";"8 (3452) 293-707";"info@fcn-tm.гu"
"13.05.2016";"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Московский государственный университет имени М.В.Ломоносова'";"7729082090";"119991, Россия, г. Москва, Ленинские горы, д. 1";"(495) 531-27-37";"priemnaya@mc.msu.ru"
"13.05.2016";"Федеральное государственное бюджетное учреждение 'Федеральный центр травматологии, ортопедии и эндопротезирования' Министерства здравоохранения Российской Федерации (г. Смоленск)";"6732033809";"214031, Россия, Смоленская область, г. Смоленск, проспект Строителей, дом 29";"(8-4812) 70-10-00, (8-4812) 10-10-02";"con-tacts@orthosmolensk.ru"
"13.05.2016";"Государственное автономное учреждение здравоохранения 'Республиканский клинический онкологический диспансер Министерства здравоохранения Республики Татарстан'";"1660120850";"420029, Россия, Республика Татарстан, г. Казань, ул. Сибирский тракт, д. 29";"(843) 5192600, факс (843) 5192775";"rkod.mzrt@tatar.ru"
"13.05.2016";"Федеральное государственное бюджетное образовательное учреждение высшего образования 'Пермский государственный медицинский университет имени академика е.а. вагнера' министерства здравоохранения российской федерации";"5902290120";"614990, Россия, Пермский край, г. Пермь, Петропавловская, д. 26, корп. -, кв. -";"(342) 2172021";"rector@psma.ru"
"13.05.2016";"Государственное бюджетное учреждение здравоохранения Яролавской области 'Ярославская областная клиническая наркологическая больница'";"7606003563";"150054, Россия, Ярославская область, Ярославль, пр-т Октября, д. 59";"73-61-11";"yaoknb@yaroslavl.ru"
"25.04.2016";"Государственное бюджетное учреждение здравоохранения города Москвы Городская клиническая больница № 1 им. Н.И. Пирогова Департамента здравоохранения города Москвы";"7706055854";"119049, Россия, г. Москва, Ленинский проспект, д. 8";"(499) 236-60-69, (499) 236-65-28";"info@gkb1.mosgorzdrav.ru"
"19.04.2016";"Федеральное государственное бюджетное учреждение 'Федеральный научно-клинический центр физико-химической медицины Федерального медико-биологического агентства'";"7704014010";"119435, Россия, г. Москва, ул. М. Пироговская, д. 1А";"(499) 246-77-21";"info@niifhm.ru"
"11.04.2016";"Акционерное общество 'Современные медицинские технологии'";"7810519012";"190013, Россия, г. Санкт-Петербург, Московский пр., дом 22, лит. А";"(812) 777-97-77";"rk@cmtmed.com"
"24.03.2016";"Открытое акционерное общество 'Институт пластической хирургии  и косметологии'";"7708698635";"105066, Россия, г. Москва, ул.Ольховская, д. 27";"8 (495) 775-01-02, 8 (499) 775-01-03";"iphk@iphk.ru"
"11.02.2016";"федеральное государственное бюджетное учреждение 'Межотраслевой научно-технический комплекс 'Микрохирургия глаза' имени академика С.Н.Федорова' Министерства здравоохранения Российской Федерации";"7713059497";"127486, Россия, г. Москва, Бескудниковский бульвар, д. 59А";"(499) 906-50-01, факс (495) 485-59-54";"chfmntk@mail.ru, prmntk@chtts.ru"
"25.01.2016";"Федеральное государственное бюджетное научное учреждение 'Томский национальный исследовательский медицинский центр Российской академии наук'";"7019011979";"634009, Россия, Томская область, г. Томск, переулок Кооперативный, 5";"8(3822) 511039., факс 8(3822) 514097.";"center@tnimc.ru"
"25.01.2016";"Акционерное общество «Центр семейной медицины»";"6658112160";"620120, Россия, Свердловская область, г. Екатеринбург, ул. Начдива Васильева, 1 , корпус 3";"8 (343) 237-19-99, 8 (343) 212-11-59 (факс)";"cfm@cfm.ru"
"25.01.2016";"государственное бюджетное образовательное учреждение высшего профессионального образования 'Кубанский государственный медицинский университет' Министерства здравоохранения Российской Федерации";"2309023448";"350063, Россия, Краснодарский край, г. Краснодар, ул. Седина, д. 4";"8 (861) 262-73-76, факс 8 (861) 262-73-52, 8 (861) 257-05-09";"corpus@ksma.ru, klinika@bagk-med.ru"
"25.01.2016";"Государственное бюджетное образовательное учреждение высшего профессионального образования 'Ростовский государственный медицинский университет' Министерства здравоохранения Российской Федерации";"6163032850";"344022, Россия, Ростовская область, г. Ростов-на-Дону, пер. Нахичеванский, дом 29";"(863) 250-42-00, факс: (863) 201-43-90";"okt@rostgmu.ru"
"25.01.2016";"федеральное государственное бюджетное учреждение 'Центральная клиническая больница с поликлиникой' Управления делами Президента Российской Федерации";"7731082971";"121359, Россия, г. Москва, ул. Маршала Тимошенко, д. 15";"(495) 530-03-95, факс (499) 140-42-50";"glavcch@cch.pmc.ru"
"25.01.2016";"Федеральное государственное бюджетное учреждение науки 'Кировский научно-исследовательский институт гематологии и переливания крови Федерального медико-биологического агентства'";"4346007656";"610027, Россия, Кировская область, г. Киров, ул. Красноармейская, д.72";"(8332) 54-17-70, факс (8332) 54-97-31";"niigpk@yandex.ru"
